image_sequence_folder,label
.\train_frames\10568_46,bored
.\train_frames\10571_81,bad
.\train_frames\10587_52,yellow
.\train_frames\1060_12,finish
.\train_frames\10677_17,friend
.\train_frames\10678_93,woman
.\train_frames\10680_40,fine
.\train_frames\10685_36,forget
.\train_frames\10688_91,draw
.\train_frames\10693_49,computer
.\train_frames\10694_49,computer
.\train_frames\10695_49,computer
.\train_frames\10696_91,draw
.\train_frames\106_33,cousin
.\train_frames\10701_66,english
.\train_frames\10702_95,france
.\train_frames\1070_1,nice
.\train_frames\1071_1,nice
.\train_frames\10721_56,drink
.\train_frames\10725_12,finish
.\train_frames\10745_56,drink
.\train_frames\10759_93,woman
.\train_frames\10760_65,green
.\train_frames\10778_39,girl
.\train_frames\1078_56,drink
.\train_frames\1079_56,drink
.\train_frames\10954_49,computer
.\train_frames\10955_49,computer
.\train_frames\10983_46,bored
.\train_frames\11002_1,nice
.\train_frames\11004_57,bathroom
.\train_frames\11014_19,mother
.\train_frames\11015_95,france
.\train_frames\11019_8,want
.\train_frames\11020_8,want
.\train_frames\11023_89,sorry
.\train_frames\11041_99,night
.\train_frames\11043_79,pencil
.\train_frames\11044_79,pencil
.\train_frames\11049_98,live
.\train_frames\11050_98,live
.\train_frames\11051_77,here
.\train_frames\11052_77,here
.\train_frames\11056_28,table
.\train_frames\11059_79,pencil
.\train_frames\11060_79,pencil
.\train_frames\11063_100,apple
.\train_frames\11072_88,big
.\train_frames\11083_6,like
.\train_frames\11088_57,bathroom
.\train_frames\11094_16,tired
.\train_frames\11095_19,mother
.\train_frames\11096_31,father
.\train_frames\11103_44,family
.\train_frames\11109_14,bird
.\train_frames\11110_25,fish
.\train_frames\11118_37,nothing
.\train_frames\11119_29,need
.\train_frames\11120_75,thanks
.\train_frames\11130_80,walk
.\train_frames\11134_90,work
.\train_frames\11136_89,sorry
.\train_frames\11137_46,bored
.\train_frames\11143_62,beautiful
.\train_frames\11152_63,sick
.\train_frames\11169_24,good
.\train_frames\11170_81,bad
.\train_frames\11173_27,sad
.\train_frames\11180_1,nice
.\train_frames\11187_16,tired
.\train_frames\11192_55,but
.\train_frames\11209_97,know
.\train_frames\11212_69,who
.\train_frames\11216_18,sit
.\train_frames\11220_54,hungry
.\train_frames\11221_54,hungry
.\train_frames\11321_29,need
.\train_frames\11325_6,like
.\train_frames\11343_28,table
.\train_frames\11366_23,spring
.\train_frames\11375_28,table
.\train_frames\11377_57,bathroom
.\train_frames\11383_87,go
.\train_frames\11390_65,green
.\train_frames\11402_76,hurt
.\train_frames\11409_20,yes
.\train_frames\11413_41,black
.\train_frames\11446_66,english
.\train_frames\11452_95,france
.\train_frames\11475_43,lost
.\train_frames\11478_37,nothing
.\train_frames\11491_10,school
.\train_frames\1149_3,eat
.\train_frames\11510_16,tired
.\train_frames\11518_91,draw
.\train_frames\11539_22,learn
.\train_frames\11541_43,lost
.\train_frames\11547_47,please
.\train_frames\11548_75,thanks
.\train_frames\1154_42,boy
.\train_frames\11551_91,draw
.\train_frames\11595_78,grandmother
.\train_frames\11596_68,you
.\train_frames\11603_42,boy
.\train_frames\11604_58,man
.\train_frames\11605_39,girl
.\train_frames\11606_93,woman
.\train_frames\11607_45,hearing
.\train_frames\11608_9,deaf
.\train_frames\11609_97,know
.\train_frames\11612_84,dance
.\train_frames\11615_12,finish
.\train_frames\11616_67,name
.\train_frames\11621_66,english
.\train_frames\11622_5,happy
.\train_frames\11623_16,tired
.\train_frames\11630_40,fine
.\train_frames\11631_60,understand
.\train_frames\11639_30,where
.\train_frames\11643_84,dance
.\train_frames\11645_36,forget
.\train_frames\11655_51,doctor
.\train_frames\11656_71,nurse
.\train_frames\11658_2,teacher
.\train_frames\11661_15,what
.\train_frames\11685_46,bored
.\train_frames\1168_31,father
.\train_frames\11690_0,hello
.\train_frames\11741_64,blue
.\train_frames\11742_7,orange
.\train_frames\1174_1,nice
.\train_frames\11780_60,understand
.\train_frames\11781_58,man
.\train_frames\11782_93,woman
.\train_frames\11785_17,friend
.\train_frames\11787_31,father
.\train_frames\11788_19,mother
.\train_frames\11789_31,father
.\train_frames\11794_34,brother
.\train_frames\11795_34,brother
.\train_frames\11797_33,cousin
.\train_frames\11800_78,grandmother
.\train_frames\11803_25,fish
.\train_frames\11811_98,live
.\train_frames\11812_77,here
.\train_frames\11814_18,sit
.\train_frames\11820_7,orange
.\train_frames\11821_64,blue
.\train_frames\11822_64,blue
.\train_frames\11823_53,write
.\train_frames\1182_38,book
.\train_frames\11869_16,tired
.\train_frames\11870_16,tired
.\train_frames\11875_76,hurt
.\train_frames\11876_76,hurt
.\train_frames\11879_12,finish
.\train_frames\11880_12,finish
.\train_frames\11881_29,need
.\train_frames\11882_29,need
.\train_frames\11883_51,doctor
.\train_frames\11884_51,doctor
.\train_frames\11885_51,doctor
.\train_frames\11886_51,doctor
.\train_frames\11921_87,go
.\train_frames\11922_87,go
.\train_frames\11923_87,go
.\train_frames\11924_87,go
.\train_frames\11925_87,go
.\train_frames\11926_24,good
.\train_frames\11927_24,good
.\train_frames\11956_81,bad
.\train_frames\11957_81,bad
.\train_frames\11967_3,eat
.\train_frames\11972_43,lost
.\train_frames\11977_36,forget
.\train_frames\11981_0,hello
.\train_frames\11990_19,mother
.\train_frames\11993_50,help
.\train_frames\12003_56,drink
.\train_frames\12004_10,school
.\train_frames\12005_10,school
.\train_frames\1200_75,thanks
.\train_frames\12018_49,computer
.\train_frames\12057_96,pink
.\train_frames\1205_2,teacher
.\train_frames\12062_64,blue
.\train_frames\12064_23,spring
.\train_frames\12075_12,finish
.\train_frames\12076_40,fine
.\train_frames\12078_16,tired
.\train_frames\12079_63,sick
.\train_frames\1207_35,paper
.\train_frames\12080_63,sick
.\train_frames\12084_6,like
.\train_frames\12085_72,day
.\train_frames\12086_72,day
.\train_frames\1208_35,paper
.\train_frames\12097_43,lost
.\train_frames\1209_79,pencil
.\train_frames\12104_58,man
.\train_frames\12106_25,fish
.\train_frames\1210_79,pencil
.\train_frames\12123_52,yellow
.\train_frames\12124_52,yellow
.\train_frames\12132_75,thanks
.\train_frames\12134_89,sorry
.\train_frames\12139_28,table
.\train_frames\1213_38,book
.\train_frames\12140_18,sit
.\train_frames\12141_50,help
.\train_frames\12149_15,what
.\train_frames\1214_38,book
.\train_frames\12150_15,what
.\train_frames\12151_29,need
.\train_frames\12153_73,now
.\train_frames\12155_84,dance
.\train_frames\12157_71,nurse
.\train_frames\12171_80,walk
.\train_frames\12172_84,dance
.\train_frames\12183_82,read
.\train_frames\12193_48,water
.\train_frames\12194_32,milk
.\train_frames\12195_32,milk
.\train_frames\12201_85,play
.\train_frames\12202_85,play
.\train_frames\12203_85,play
.\train_frames\12206_8,want
.\train_frames\12207_8,want
.\train_frames\1220_7,orange
.\train_frames\12214_1,nice
.\train_frames\12215_1,nice
.\train_frames\12218_10,school
.\train_frames\12219_10,school
.\train_frames\1221_32,milk
.\train_frames\12220_85,play
.\train_frames\12225_19,mother
.\train_frames\12226_19,mother
.\train_frames\12227_31,father
.\train_frames\12228_31,father
.\train_frames\12229_78,grandmother
.\train_frames\12230_78,grandmother
.\train_frames\12231_92,grandfather
.\train_frames\12232_92,grandfather
.\train_frames\12233_17,friend
.\train_frames\12234_17,friend
.\train_frames\12235_50,help
.\train_frames\12236_3,eat
.\train_frames\12237_3,eat
.\train_frames\12238_3,eat
.\train_frames\12239_56,drink
.\train_frames\12240_56,drink
.\train_frames\12241_32,milk
.\train_frames\12242_48,water
.\train_frames\12243_48,water
.\train_frames\12250_12,finish
.\train_frames\12251_12,finish
.\train_frames\12252_47,please
.\train_frames\12253_47,please
.\train_frames\1225_14,bird
.\train_frames\12263_20,yes
.\train_frames\12264_20,yes
.\train_frames\12265_4,no
.\train_frames\12266_4,no
.\train_frames\12267_89,sorry
.\train_frames\12268_76,hurt
.\train_frames\12269_76,hurt
.\train_frames\1226_5,happy
.\train_frames\12272_5,happy
.\train_frames\12273_5,happy
.\train_frames\12274_27,sad
.\train_frames\12275_27,sad
.\train_frames\12276_75,thanks
.\train_frames\12277_75,thanks
.\train_frames\12281_53,write
.\train_frames\12296_3,eat
.\train_frames\12297_3,eat
.\train_frames\1229_3,eat
.\train_frames\12319_48,water
.\train_frames\1231_36,forget
.\train_frames\12320_48,water
.\train_frames\12321_32,milk
.\train_frames\12322_32,milk
.\train_frames\12323_32,milk
.\train_frames\12365_80,walk
.\train_frames\12367_80,walk
.\train_frames\12370_12,finish
.\train_frames\12371_12,finish
.\train_frames\12372_12,finish
.\train_frames\12373_50,help
.\train_frames\12374_50,help
.\train_frames\12375_53,write
.\train_frames\12376_82,read
.\train_frames\12377_82,read
.\train_frames\12389_95,france
.\train_frames\1241_2,teacher
.\train_frames\12429_43,lost
.\train_frames\12435_90,work
.\train_frames\12437_50,help
.\train_frames\12438_50,help
.\train_frames\12439_50,help
.\train_frames\12440_50,help
.\train_frames\12441_50,help
.\train_frames\12483_39,girl
.\train_frames\12512_47,please
.\train_frames\12513_47,please
.\train_frames\12514_47,please
.\train_frames\12518_68,you
.\train_frames\12526_15,what
.\train_frames\12527_30,where
.\train_frames\12528_36,forget
.\train_frames\12531_91,draw
.\train_frames\12533_70,same
.\train_frames\12534_55,but
.\train_frames\12535_47,please
.\train_frames\12536_89,sorry
.\train_frames\12557_26,again
.\train_frames\12558_57,bathroom
.\train_frames\12559_46,bored
.\train_frames\1255_3,eat
.\train_frames\12560_46,bored
.\train_frames\12572_99,night
.\train_frames\12573_99,night
.\train_frames\12574_99,night
.\train_frames\12580_40,fine
.\train_frames\12581_17,friend
.\train_frames\12582_24,good
.\train_frames\12585_45,hearing
.\train_frames\12586_0,hello
.\train_frames\12589_97,know
.\train_frames\12594_22,learn
.\train_frames\12595_6,like
.\train_frames\12603_67,name
.\train_frames\12604_1,nice
.\train_frames\12605_4,no
.\train_frames\12606_37,nothing
.\train_frames\12607_10,school
.\train_frames\12610_63,sick
.\train_frames\12611_86,sign
.\train_frames\12616_75,thanks
.\train_frames\12618_16,tired
.\train_frames\12620_8,want
.\train_frames\12621_8,want
.\train_frames\12623_20,yes
.\train_frames\12624_68,you
.\train_frames\12625_68,you
.\train_frames\12626_40,fine
.\train_frames\12630_44,family
.\train_frames\12631_44,family
.\train_frames\12632_19,mother
.\train_frames\12633_31,father
.\train_frames\12634_78,grandmother
.\train_frames\12635_92,grandfather
.\train_frames\12636_34,brother
.\train_frames\12637_34,brother
.\train_frames\12638_11,sister
.\train_frames\12639_33,cousin
.\train_frames\12643_16,tired
.\train_frames\12644_63,sick
.\train_frames\12645_62,beautiful
.\train_frames\12648_69,who
.\train_frames\12654_17,friend
.\train_frames\12656_20,yes
.\train_frames\12657_4,no
.\train_frames\12658_22,learn
.\train_frames\12659_36,forget
.\train_frames\12661_0,hello
.\train_frames\12663_69,who
.\train_frames\12664_30,where
.\train_frames\12665_83,when
.\train_frames\12666_58,man
.\train_frames\12667_2,teacher
.\train_frames\12669_41,black
.\train_frames\12670_74,brown
.\train_frames\12671_65,green
.\train_frames\12672_64,blue
.\train_frames\12674_61,red
.\train_frames\12675_96,pink
.\train_frames\12676_7,orange
.\train_frames\12677_13,white
.\train_frames\12678_18,sit
.\train_frames\12679_18,sit
.\train_frames\12682_35,paper
.\train_frames\12683_82,read
.\train_frames\12684_10,school
.\train_frames\12685_91,draw
.\train_frames\12686_53,write
.\train_frames\12687_70,same
.\train_frames\12688_55,but
.\train_frames\12689_36,forget
.\train_frames\12693_94,right
.\train_frames\12698_9,deaf
.\train_frames\12699_45,hearing
.\train_frames\12700_45,hearing
.\train_frames\12701_86,sign
.\train_frames\12704_29,need
.\train_frames\12706_60,understand
.\train_frames\12707_60,understand
.\train_frames\12712_57,bathroom
.\train_frames\12713_20,yes
.\train_frames\12714_20,yes
.\train_frames\12716_99,night
.\train_frames\12736_61,red
.\train_frames\1275_15,what
.\train_frames\12780_39,girl
.\train_frames\12781_1,nice
.\train_frames\12783_68,you
.\train_frames\12786_19,mother
.\train_frames\12787_31,father
.\train_frames\12788_11,sister
.\train_frames\12789_34,brother
.\train_frames\1278_51,doctor
.\train_frames\12792_10,school
.\train_frames\12795_17,friend
.\train_frames\12797_78,grandmother
.\train_frames\1279_1,nice
.\train_frames\12806_6,like
.\train_frames\12807_40,fine
.\train_frames\12810_30,where
.\train_frames\12811_15,what
.\train_frames\12812_15,what
.\train_frames\12813_70,same
.\train_frames\12814_59,how
.\train_frames\12815_83,when
.\train_frames\12817_67,name
.\train_frames\12819_21,student
.\train_frames\12832_2,teacher
.\train_frames\12839_62,beautiful
.\train_frames\12863_61,red
.\train_frames\12864_65,green
.\train_frames\12865_74,brown
.\train_frames\12867_7,orange
.\train_frames\12868_7,orange
.\train_frames\12878_19,mother
.\train_frames\12879_31,father
.\train_frames\12880_31,father
.\train_frames\12881_11,sister
.\train_frames\12882_11,sister
.\train_frames\12883_34,brother
.\train_frames\12884_34,brother
.\train_frames\12887_17,friend
.\train_frames\12888_17,friend
.\train_frames\12893_39,girl
.\train_frames\12894_42,boy
.\train_frames\12895_42,boy
.\train_frames\12898_78,grandmother
.\train_frames\12899_78,grandmother
.\train_frames\1289_80,walk
.\train_frames\128_45,hearing
.\train_frames\12900_92,grandfather
.\train_frames\12901_92,grandfather
.\train_frames\12902_33,cousin
.\train_frames\12903_33,cousin
.\train_frames\1290_88,big
.\train_frames\12910_44,family
.\train_frames\12911_44,family
.\train_frames\12912_14,bird
.\train_frames\1291_56,drink
.\train_frames\12929_100,apple
.\train_frames\12938_32,milk
.\train_frames\12943_3,eat
.\train_frames\12945_60,understand
.\train_frames\12947_0,hello
.\train_frames\12956_26,again
.\train_frames\12975_69,who
.\train_frames\12976_15,what
.\train_frames\12977_83,when
.\train_frames\12978_30,where
.\train_frames\12982_92,grandfather
.\train_frames\12984_0,hello
.\train_frames\12986_58,man
.\train_frames\12987_93,woman
.\train_frames\12988_42,boy
.\train_frames\12989_39,girl
.\train_frames\12992_100,apple
.\train_frames\13017_98,live
.\train_frames\13023_33,cousin
.\train_frames\13030_38,book
.\train_frames\13033_20,yes
.\train_frames\13037_14,bird
.\train_frames\13038_68,you
.\train_frames\13048_69,who
.\train_frames\13050_76,hurt
.\train_frames\13051_76,hurt
.\train_frames\13052_50,help
.\train_frames\13053_15,what
.\train_frames\13054_24,good
.\train_frames\13055_63,sick
.\train_frames\13057_30,where
.\train_frames\13058_81,bad
.\train_frames\13059_16,tired
.\train_frames\13060_83,when
.\train_frames\13075_48,water
.\train_frames\13086_100,apple
.\train_frames\13088_94,right
.\train_frames\13092_54,hungry
.\train_frames\13093_5,happy
.\train_frames\13095_68,you
.\train_frames\13119_92,grandfather
.\train_frames\13120_92,grandfather
.\train_frames\13123_26,again
.\train_frames\13124_9,deaf
.\train_frames\13125_9,deaf
.\train_frames\13126_22,learn
.\train_frames\13131_67,name
.\train_frames\13132_1,nice
.\train_frames\13133_1,nice
.\train_frames\13135_75,thanks
.\train_frames\13136_15,what
.\train_frames\13137_30,where
.\train_frames\13138_69,who
.\train_frames\13140_20,yes
.\train_frames\13142_84,dance
.\train_frames\13151_51,doctor
.\train_frames\13157_71,nurse
.\train_frames\13163_2,teacher
.\train_frames\13167_50,help
.\train_frames\13175_18,sit
.\train_frames\13185_25,fish
.\train_frames\13192_40,fine
.\train_frames\13194_21,student
.\train_frames\13198_41,black
.\train_frames\13201_17,friend
.\train_frames\13205_57,bathroom
.\train_frames\13213_46,bored
.\train_frames\13228_87,go
.\train_frames\13229_87,go
.\train_frames\13232_68,you
.\train_frames\13234_64,blue
.\train_frames\13344_15,what
.\train_frames\13348_77,here
.\train_frames\13353_61,red
.\train_frames\13354_7,orange
.\train_frames\13355_52,yellow
.\train_frames\13356_65,green
.\train_frames\13357_65,green
.\train_frames\13358_64,blue
.\train_frames\13360_74,brown
.\train_frames\13361_41,black
.\train_frames\13362_13,white
.\train_frames\13364_96,pink
.\train_frames\13365_23,spring
.\train_frames\13366_15,what
.\train_frames\13367_68,you
.\train_frames\13371_23,spring
.\train_frames\13380_62,beautiful
.\train_frames\13381_62,beautiful
.\train_frames\13412_7,orange
.\train_frames\13413_0,hello
.\train_frames\13423_3,eat
.\train_frames\13424_12,finish
.\train_frames\13426_30,where
.\train_frames\13427_15,what
.\train_frames\13430_50,help
.\train_frames\13431_43,lost
.\train_frames\13432_43,lost
.\train_frames\13435_57,bathroom
.\train_frames\13439_94,right
.\train_frames\13444_9,deaf
.\train_frames\13445_45,hearing
.\train_frames\13446_26,again
.\train_frames\13450_20,yes
.\train_frames\13451_4,no
.\train_frames\13452_60,understand
.\train_frames\13461_28,table
.\train_frames\13463_52,yellow
.\train_frames\13464_7,orange
.\train_frames\13465_7,orange
.\train_frames\13466_7,orange
.\train_frames\13467_64,blue
.\train_frames\13468_64,blue
.\train_frames\13470_41,black
.\train_frames\13495_100,apple
.\train_frames\13496_100,apple
.\train_frames\13504_63,sick
.\train_frames\13505_63,sick
.\train_frames\13509_44,family
.\train_frames\13552_62,beautiful
.\train_frames\13554_44,family
.\train_frames\13559_77,here
.\train_frames\13590_23,spring
.\train_frames\13615_99,night
.\train_frames\13626_71,nurse
.\train_frames\13637_26,again
.\train_frames\13638_57,bathroom
.\train_frames\13639_46,bored
.\train_frames\13643_9,deaf
.\train_frames\13647_99,night
.\train_frames\13651_40,fine
.\train_frames\13653_17,friend
.\train_frames\13656_5,happy
.\train_frames\13659_0,hello
.\train_frames\13664_97,know
.\train_frames\13666_22,learn
.\train_frames\13667_6,like
.\train_frames\13671_67,name
.\train_frames\13672_1,nice
.\train_frames\13673_4,no
.\train_frames\13674_37,nothing
.\train_frames\13675_47,please
.\train_frames\13677_27,sad
.\train_frames\13679_10,school
.\train_frames\13681_63,sick
.\train_frames\13686_16,tired
.\train_frames\13688_60,understand
.\train_frames\13689_8,want
.\train_frames\13692_20,yes
.\train_frames\13698_5,happy
.\train_frames\13699_27,sad
.\train_frames\13700_27,sad
.\train_frames\13719_76,hurt
.\train_frames\13720_16,tired
.\train_frames\13723_46,bored
.\train_frames\13726_48,water
.\train_frames\13729_23,spring
.\train_frames\13731_18,sit
.\train_frames\13732_32,milk
.\train_frames\13743_2,teacher
.\train_frames\13744_22,learn
.\train_frames\13745_21,student
.\train_frames\13746_9,deaf
.\train_frames\13747_45,hearing
.\train_frames\13749_66,english
.\train_frames\13750_95,france
.\train_frames\13762_77,here
.\train_frames\13763_20,yes
.\train_frames\13764_4,no
.\train_frames\13769_43,lost
.\train_frames\13771_86,sign
.\train_frames\13774_36,forget
.\train_frames\13782_3,eat
.\train_frames\13784_73,now
.\train_frames\13788_80,walk
.\train_frames\13789_84,dance
.\train_frames\13791_85,play
.\train_frames\13807_49,computer
.\train_frames\13808_49,computer
.\train_frames\13816_48,water
.\train_frames\13817_32,milk
.\train_frames\13820_100,apple
.\train_frames\13830_6,like
.\train_frames\13833_16,tired
.\train_frames\13834_63,sick
.\train_frames\13836_40,fine
.\train_frames\13845_90,work
.\train_frames\13846_90,work
.\train_frames\13910_51,doctor
.\train_frames\13913_88,big
.\train_frames\13929_29,need
.\train_frames\13939_91,draw
.\train_frames\13960_68,you
.\train_frames\13966_69,who
.\train_frames\13967_30,where
.\train_frames\13968_21,student
.\train_frames\13969_2,teacher
.\train_frames\13970_58,man
.\train_frames\13971_93,woman
.\train_frames\13972_39,girl
.\train_frames\13973_42,boy
.\train_frames\13974_31,father
.\train_frames\13975_11,sister
.\train_frames\13976_34,brother
.\train_frames\13980_9,deaf
.\train_frames\13982_0,hello
.\train_frames\13983_67,name
.\train_frames\13984_98,live
.\train_frames\13985_98,live
.\train_frames\13987_1,nice
.\train_frames\13994_97,know
.\train_frames\14002_0,hello
.\train_frames\14003_0,hello
.\train_frames\14006_67,name
.\train_frames\14007_20,yes
.\train_frames\14008_47,please
.\train_frames\14009_75,thanks
.\train_frames\14010_50,help
.\train_frames\14015_26,again
.\train_frames\14016_60,understand
.\train_frames\14019_86,sign
.\train_frames\14021_94,right
.\train_frames\14023_12,finish
.\train_frames\14044_14,bird
.\train_frames\14056_31,father
.\train_frames\14057_19,mother
.\train_frames\14059_34,brother
.\train_frames\14060_11,sister
.\train_frames\14066_33,cousin
.\train_frames\14086_4,no
.\train_frames\14088_37,nothing
.\train_frames\14089_58,man
.\train_frames\14090_93,woman
.\train_frames\14091_42,boy
.\train_frames\14092_39,girl
.\train_frames\14104_41,black
.\train_frames\14107_1,nice
.\train_frames\14119_69,who
.\train_frames\14120_15,what
.\train_frames\14121_30,where
.\train_frames\14123_59,how
.\train_frames\14124_59,how
.\train_frames\14126_17,friend
.\train_frames\14128_2,teacher
.\train_frames\14130_44,family
.\train_frames\14131_98,live
.\train_frames\14132_90,work
.\train_frames\14134_72,day
.\train_frames\14138_73,now
.\train_frames\14143_73,now
.\train_frames\14147_55,but
.\train_frames\14151_97,know
.\train_frames\14153_36,forget
.\train_frames\14154_8,want
.\train_frames\14156_6,like
.\train_frames\14158_29,need
.\train_frames\14161_46,bored
.\train_frames\14168_100,apple
.\train_frames\14170_3,eat
.\train_frames\14171_56,drink
.\train_frames\14172_54,hungry
.\train_frames\14179_25,fish
.\train_frames\14184_50,help
.\train_frames\14185_10,school
.\train_frames\14195_37,nothing
.\train_frames\14200_40,fine
.\train_frames\14201_40,fine
.\train_frames\14202_24,good
.\train_frames\14203_81,bad
.\train_frames\14204_26,again
.\train_frames\14208_76,hurt
.\train_frames\14217_16,tired
.\train_frames\14218_16,tired
.\train_frames\14221_8,want
.\train_frames\14228_40,fine
.\train_frames\14229_40,fine
.\train_frames\14232_60,understand
.\train_frames\14235_76,hurt
.\train_frames\14236_76,hurt
.\train_frames\14317_72,day
.\train_frames\14319_99,night
.\train_frames\14328_73,now
.\train_frames\14344_3,eat
.\train_frames\14361_83,when
.\train_frames\14372_46,bored
.\train_frames\14375_37,nothing
.\train_frames\14403_65,green
.\train_frames\14410_91,draw
.\train_frames\14412_77,here
.\train_frames\14413_77,here
.\train_frames\14414_28,table
.\train_frames\14415_3,eat
.\train_frames\14416_56,drink
.\train_frames\14418_80,walk
.\train_frames\14420_18,sit
.\train_frames\14447_34,brother
.\train_frames\14465_92,grandfather
.\train_frames\14466_92,grandfather
.\train_frames\14467_92,grandfather
.\train_frames\14468_78,grandmother
.\train_frames\14476_33,cousin
.\train_frames\14477_33,cousin
.\train_frames\14478_33,cousin
.\train_frames\14479_33,cousin
.\train_frames\14487_24,good
.\train_frames\14489_63,sick
.\train_frames\14509_26,again
.\train_frames\14511_57,bathroom
.\train_frames\14517_22,learn
.\train_frames\14519_29,need
.\train_frames\14520_4,no
.\train_frames\14521_47,please
.\train_frames\14522_47,please
.\train_frames\14524_10,school
.\train_frames\14525_86,sign
.\train_frames\14526_86,sign
.\train_frames\14527_86,sign
.\train_frames\14530_20,yes
.\train_frames\14533_10,school
.\train_frames\14542_42,boy
.\train_frames\14548_72,day
.\train_frames\14549_80,walk
.\train_frames\14550_48,water
.\train_frames\14556_58,man
.\train_frames\14557_58,man
.\train_frames\14559_30,where
.\train_frames\14560_83,when
.\train_frames\14561_9,deaf
.\train_frames\14564_98,live
.\train_frames\14565_26,again
.\train_frames\14578_60,understand
.\train_frames\14579_60,understand
.\train_frames\14590_53,write
.\train_frames\14595_38,book
.\train_frames\145_25,fish
.\train_frames\14609_40,fine
.\train_frames\14614_3,eat
.\train_frames\14633_5,happy
.\train_frames\14639_42,boy
.\train_frames\14641_92,grandfather
.\train_frames\14649_64,blue
.\train_frames\14651_48,water
.\train_frames\14653_68,you
.\train_frames\14662_15,what
.\train_frames\14663_69,who
.\train_frames\14664_30,where
.\train_frames\14665_83,when
.\train_frames\14667_67,name
.\train_frames\14669_10,school
.\train_frames\14672_2,teacher
.\train_frames\14673_21,student
.\train_frames\14681_9,deaf
.\train_frames\14683_45,hearing
.\train_frames\14684_98,live
.\train_frames\14685_90,work
.\train_frames\14686_77,here
.\train_frames\14687_44,family
.\train_frames\14688_17,friend
.\train_frames\14689_6,like
.\train_frames\14691_60,understand
.\train_frames\14693_8,want
.\train_frames\14695_29,need
.\train_frames\14697_89,sorry
.\train_frames\14698_47,please
.\train_frames\14699_26,again
.\train_frames\14700_12,finish
.\train_frames\14701_21,student
.\train_frames\14703_91,draw
.\train_frames\14704_18,sit
.\train_frames\14745_62,beautiful
